support,itemsets,length
0.5393442622950819,['forrest gump (1994)'],1
0.519672131147541,"['shawshank redemption, the (1994)']",1
0.5032786885245901,['pulp fiction (1994)'],1
0.45737704918032784,"['silence of the lambs, the (1991)']",1
0.4557377049180328,"['matrix, the (1999)']",1
0.41147540983606556,['star wars: episode iv - a new hope (1977)'],1
0.3901639344262295,['jurassic park (1993)'],1
0.3885245901639344,['braveheart (1995)'],1
0.37868852459016394,"['shawshank redemption, the (1994)', 'forrest gump (1994)']",2
0.3770491803278688,"['pulp fiction (1994)', 'forrest gump (1994)']",2
0.36721311475409835,['terminator 2: judgment day (1991)'],1
0.3639344262295082,"['pulp fiction (1994)', 'shawshank redemption, the (1994)']",2
0.36065573770491804,"[""schindler's list (1993)""]",1
0.35737704918032787,['fight club (1999)'],1
0.3524590163934426,['toy story (1995)'],1
0.34590163934426227,['star wars: episode v - the empire strikes back (1980)'],1
0.33934426229508197,"['silence of the lambs, the (1991)', 'pulp fiction (1994)']",2
0.3344262295081967,['american beauty (1999)'],1
0.3344262295081967,"['usual suspects, the (1995)']",1
0.33278688524590166,['seven (a.k.a. se7en) (1995)'],1
0.33114754098360655,['independence day (a.k.a. id4) (1996)'],1
0.3295081967213115,['apollo 13 (1995)'],1
0.32786885245901637,['raiders of the lost ark (indiana jones and the raiders of the lost ark) (1981)'],1
0.3262295081967213,"['silence of the lambs, the (1991)', 'shawshank redemption, the (1994)']",2
0.3262295081967213,"['silence of the lambs, the (1991)', 'forrest gump (1994)']",2
0.32459016393442625,"['lord of the rings: the fellowship of the ring, the (2001)']",1
0.32459016393442625,"['jurassic park (1993)', 'forrest gump (1994)']",2
0.32131147540983607,['star wars: episode vi - return of the jedi (1983)'],1
0.3180327868852459,"['matrix, the (1999)', 'forrest gump (1994)']",2
0.31475409836065577,"['godfather, the (1972)']",1
0.3114754098360656,"['fugitive, the (1993)']",1
0.3114754098360656,"['star wars: episode v - the empire strikes back (1980)', 'star wars: episode iv - a new hope (1977)']",2
0.30983606557377047,['batman (1989)'],1
0.3081967213114754,['saving private ryan (1998)'],1
0.3081967213114754,"['lord of the rings: the two towers, the (2002)']",1
0.30327868852459017,"['lord of the rings: the return of the king, the (2003)']",1
0.3,"['star wars: episode iv - a new hope (1977)', 'matrix, the (1999)']",2
0.3,['aladdin (1992)'],1
0.3,"['braveheart (1995)', 'forrest gump (1994)']",2
0.2967213114754098,"['matrix, the (1999)', 'shawshank redemption, the (1994)']",2
0.2967213114754098,['fargo (1996)'],1
0.29508196721311475,"['fight club (1999)', 'matrix, the (1999)']",2
0.2934426229508197,"['pulp fiction (1994)', 'shawshank redemption, the (1994)', 'forrest gump (1994)']",3
0.2934426229508197,"['sixth sense, the (1999)']",1
0.29180327868852457,"['pulp fiction (1994)', 'matrix, the (1999)']",2
0.29180327868852457,"['pulp fiction (1994)', 'braveheart (1995)']",2
0.29180327868852457,['true lies (1994)'],1
0.2901639344262295,['twelve monkeys (a.k.a. 12 monkeys) (1995)'],1
0.28688524590163933,"['star wars: episode vi - return of the jedi (1983)', 'star wars: episode iv - a new hope (1977)']",2
0.28524590163934427,"['pulp fiction (1994)', 'seven (a.k.a. se7en) (1995)']",2
0.2836065573770492,"['star wars: episode v - the empire strikes back (1980)', 'matrix, the (1999)']",2
0.2836065573770492,"['pulp fiction (1994)', 'jurassic park (1993)']",2
0.2819672131147541,"['lion king, the (1994)']",1
0.28032786885245903,['back to the future (1985)'],1
0.28032786885245903,['speed (1994)'],1
0.2786885245901639,['shrek (2001)'],1
0.2786885245901639,"['terminator 2: judgment day (1991)', 'forrest gump (1994)']",2
0.2786885245901639,['gladiator (2000)'],1
0.27377049180327867,"['shawshank redemption, the (1994)', 'braveheart (1995)']",2
0.27377049180327867,"['terminator 2: judgment day (1991)', 'jurassic park (1993)']",2
0.2721311475409836,"['lord of the rings: the fellowship of the ring, the (2001)', 'lord of the rings: the two towers, the (2002)']",2
0.27049180327868855,['men in black (a.k.a. mib) (1997)'],1
0.27049180327868855,"['terminator 2: judgment day (1991)', 'pulp fiction (1994)']",2
0.27049180327868855,"['shawshank redemption, the (1994)', ""schindler's list (1993)""]",2
0.27049180327868855,"['apollo 13 (1995)', 'forrest gump (1994)']",2
0.27049180327868855,"['silence of the lambs, the (1991)', 'pulp fiction (1994)', 'shawshank redemption, the (1994)']",3
0.27049180327868855,"['lord of the rings: the fellowship of the ring, the (2001)', 'lord of the rings: the return of the king, the (2003)']",2
0.26885245901639343,"['star wars: episode iv - a new hope (1977)', 'forrest gump (1994)']",2
0.26885245901639343,"['silence of the lambs, the (1991)', 'pulp fiction (1994)', 'forrest gump (1994)']",3
0.26885245901639343,"[""schindler's list (1993)"", 'forrest gump (1994)']",2
0.26885245901639343,['dances with wolves (1990)'],1
0.26721311475409837,"['usual suspects, the (1995)', 'shawshank redemption, the (1994)']",2
0.26557377049180325,"['usual suspects, the (1995)', 'pulp fiction (1994)']",2
0.26557377049180325,['mission: impossible (1996)'],1
0.26557377049180325,"['fight club (1999)', 'shawshank redemption, the (1994)']",2
0.26557377049180325,"['star wars: episode v - the empire strikes back (1980)', 'star wars: episode iv - a new hope (1977)', 'matrix, the (1999)']",3
0.26557377049180325,"['star wars: episode v - the empire strikes back (1980)', 'star wars: episode vi - return of the jedi (1983)']",2
0.2639344262295082,['ace ventura: pet detective (1994)'],1
0.2639344262295082,"['lord of the rings: the two towers, the (2002)', 'lord of the rings: the return of the king, the (2003)']",2
0.2639344262295082,"['jurassic park (1993)', 'braveheart (1995)']",2
0.26229508196721313,"['fight club (1999)', 'forrest gump (1994)']",2
0.26229508196721313,"['silence of the lambs, the (1991)', 'matrix, the (1999)']",2
0.26229508196721313,"['seven (a.k.a. se7en) (1995)', 'forrest gump (1994)']",2
0.260655737704918,['memento (2000)'],1
0.260655737704918,"['star wars: episode iv - a new hope (1977)', 'raiders of the lost ark (indiana jones and the raiders of the lost ark) (1981)']",2
0.25901639344262295,"['pulp fiction (1994)', 'fight club (1999)']",2
0.25901639344262295,"['pulp fiction (1994)', 'jurassic park (1993)', 'forrest gump (1994)']",3
0.2573770491803279,"['mask, the (1994)']",1
